time,x,y,z
1.60545E+12,2.243,2.691,9.534
1.60545E+12,2.243,2.576,9.362
1.60545E+12,2.282,2.5,9.17
1.60545E+12,2.301,2.538,8.902
1.60545E+12,2.32,2.576,8.692
1.60545E+12,2.377,2.596,8.558
1.60545E+12,2.396,2.691,8.634
1.60545E+12,2.435,2.672,8.768
1.60545E+12,2.492,2.711,8.864
1.60545E+12,2.454,2.691,8.998
1.60545E+12,2.416,2.672,9.055
1.60545E+12,2.377,2.653,9.036
1.60545E+12,2.377,2.557,9.036
1.60545E+12,2.358,2.557,8.979
1.60545E+12,2.32,2.596,8.921
1.60545E+12,2.339,2.576,8.883
1.60545E+12,2.339,2.596,8.883
1.60545E+12,2.358,2.615,8.941
1.60545E+12,2.377,2.615,8.96
1.60545E+12,2.377,2.672,8.941
1.60545E+12,2.396,2.653,8.96
1.60545E+12,2.416,2.615,8.979
1.60545E+12,2.416,2.596,8.998
1.60545E+12,2.377,2.653,8.979
1.60545E+12,2.396,2.634,9.036
1.60545E+12,2.358,2.653,9.017
1.60545E+12,2.32,2.653,8.998
1.60545E+12,2.243,2.615,8.96
1.60545E+12,2.262,2.596,8.902
1.60545E+12,2.262,2.596,8.826
1.60545E+12,2.262,2.596,8.845
1.60545E+12,2.301,2.615,8.864
1.60545E+12,2.339,2.615,8.921
1.60545E+12,2.377,2.653,8.979
1.60545E+12,2.416,2.672,8.979
1.60545E+12,2.416,2.691,9.036
1.60545E+12,2.396,2.653,9.017
1.60545E+12,2.416,2.615,8.998
1.60545E+12,2.396,2.576,8.921
1.60545E+12,2.396,2.634,8.921
1.60545E+12,2.396,2.634,8.921
1.60545E+12,2.377,2.653,8.883
1.60545E+12,2.396,2.596,8.902
1.60545E+12,2.396,2.596,8.902
1.60545E+12,2.339,2.557,8.979
1.60545E+12,2.32,2.576,8.998
1.60545E+12,2.32,2.538,9.055
1.60545E+12,2.301,2.519,9.113
1.60545E+12,2.301,2.538,9.132
1.60545E+12,2.301,2.557,9.113
1.60545E+12,2.301,2.596,9.055
1.60545E+12,2.32,2.596,8.96
1.60545E+12,2.358,2.615,8.826
1.60545E+12,2.339,2.634,8.787
1.60545E+12,2.358,2.634,8.768
1.60545E+12,2.339,2.653,8.768
1.60545E+12,2.396,2.615,8.845
1.60545E+12,2.358,2.653,8.902
1.60545E+12,2.339,2.634,8.883
1.60545E+12,2.301,2.576,8.96
1.60545E+12,2.32,2.557,8.998
1.60545E+12,2.243,2.538,9.055
1.60545E+12,2.224,2.519,9.113
1.60545E+12,2.186,2.538,9.132
1.60545E+12,2.147,2.481,9.151
1.60545E+12,2.167,2.519,9.113
1.60545E+12,2.205,2.519,9.036
1.60545E+12,2.262,2.538,8.941
1.60545E+12,2.32,2.557,8.883
1.60545E+12,2.358,2.557,8.845
1.60545E+12,2.454,2.538,8.864
1.60545E+12,2.511,2.538,8.921
1.60545E+12,2.473,2.576,8.96
1.60545E+12,2.511,2.557,9.036
1.60545E+12,2.473,2.5,9.017
1.60545E+12,2.435,2.519,8.979
1.60545E+12,2.32,2.615,9.036
1.60545E+12,2.645,2.768,9.055
1.60545E+12,2.511,2.653,9.055
1.60545E+12,2.358,2.5,9.075
1.60545E+12,2.799,2.289,8.768
1.60545E+12,2.435,2.538,8.749
1.60545E+12,2.243,2.653,8.826
1.60545E+12,2.243,2.557,8.96
1.60545E+12,2.396,2.423,9.075
1.60545E+12,2.358,2.423,9.132
1.60545E+12,2.282,2.442,9.151
1.60545E+12,2.224,2.519,9.17
1.60545E+12,2.243,2.5,9.17
1.60545E+12,2.205,2.442,9.17
1.60545E+12,2.186,2.462,9.132
1.60545E+12,2.147,2.5,9.075
1.60545E+12,2.205,2.5,9.036
1.60545E+12,2.224,2.462,8.96
1.60545E+12,2.301,2.442,8.902
1.60545E+12,2.358,2.462,8.902
1.60545E+12,2.473,2.462,8.864
1.60545E+12,2.511,2.481,8.883
1.60545E+12,2.626,2.462,8.921
1.60545E+12,2.626,2.462,8.921
1.60545E+12,2.665,2.462,8.998
1.60545E+12,2.645,2.462,9.017
1.60545E+12,2.626,2.423,9.075
1.60545E+12,2.588,2.423,9.055
1.60545E+12,2.55,2.423,9.094
1.60545E+12,2.435,2.404,9.075
1.60545E+12,2.358,2.481,9.075
1.60545E+12,2.224,2.519,9.132
1.60545E+12,2.147,2.596,9.075
1.60545E+12,2.071,2.596,9.075
1.60545E+12,1.994,2.576,8.979
1.60545E+12,1.937,2.634,8.96
1.60545E+12,1.86,2.634,8.979
1.60545E+12,1.822,2.653,8.921
1.60545E+12,1.841,2.634,8.902
1.60545E+12,1.841,2.615,8.864
1.60545E+12,1.841,2.519,8.864
1.60545E+12,1.879,2.5,8.864
1.60545E+12,1.994,2.442,8.902
1.60545E+12,2.109,2.423,8.96
1.60545E+12,2.205,2.385,9.017
1.60545E+12,2.262,2.328,9.036
1.60545E+12,2.377,2.289,9.094
1.60545E+12,2.435,2.289,9.151
1.60545E+12,2.569,2.232,9.19
1.60545E+12,2.626,2.251,9.285
1.60545E+12,2.665,2.251,9.228
1.60545E+12,2.684,2.27,9.209
1.60545E+12,2.703,2.328,9.209
1.60545E+12,2.703,2.404,9.19
1.60545E+12,2.684,2.404,9.113
1.60545E+12,2.626,2.5,9.017
1.60545E+12,2.569,2.538,8.998
1.60545E+12,2.511,2.576,8.941
1.60545E+12,2.454,2.596,8.883
1.60545E+12,2.416,2.634,8.845
1.60545E+12,2.377,2.615,8.826
1.60545E+12,2.32,2.653,8.826
1.60545E+12,2.282,2.596,8.807
1.60545E+12,2.224,2.634,8.826
1.60545E+12,2.224,2.576,8.807
1.60545E+12,2.224,2.576,8.845
1.60545E+12,2.243,2.5,8.902
1.60545E+12,2.262,2.442,8.921
1.60545E+12,2.301,2.423,8.998
1.60545E+12,2.301,2.423,9.055
1.60545E+12,2.377,2.404,9.113
1.60545E+12,2.377,2.404,9.113
1.60545E+12,2.377,2.404,9.113
1.60545E+12,2.416,2.423,9.075
1.60545E+12,2.416,2.404,9.055
1.60545E+12,2.435,2.462,9.055
1.60545E+12,2.396,2.442,8.998
1.60545E+12,2.416,2.481,8.96
1.60545E+12,2.377,2.481,8.921
1.60545E+12,2.377,2.442,8.883
1.60545E+12,2.377,2.462,8.864
1.60545E+12,2.377,2.481,8.941
1.60545E+12,2.377,2.462,8.921
1.60545E+12,2.377,2.481,8.941
1.60545E+12,2.396,2.462,8.941
1.60545E+12,2.416,2.481,8.979
1.60545E+12,2.454,2.462,8.941
1.60545E+12,2.435,2.462,8.979
1.60545E+12,2.396,2.5,9.036
1.60545E+12,2.396,2.519,9.017
